Location_no,Location,Municipality,Province,Region,Country
3909,Westervelde,Norg,Drenthe,"",Nederland
3910,Westervoort,Westervoort,Gelderland,"",Nederland
3911,Westhem,Wymbritseradeel,Friesland,"",Nederland
3912,Westhoek,Het Bildt,Friesland,"",Nederland
3913,Westkapelle,Westkapelle,Zeeland,"",Nederland
3915,Westkerke,Scherpenisse,Zeeland,"",Nederland
3916,Westlaren,Zuidlaren,Drenthe,"",Nederland
3917,Westmaas,Westmaas,Zuid-Holland,"",Nederland
3919,West-Souburg,West-Souburg,Zeeland,"",Nederland
3920,Weststellingwerf,Weststellingwerf,Friesland,"",Nederland
3921,West-Terschelling,Terschelling,Friesland,"",Nederland
3922,Westvoorne,Westvoorne,Zuid-Holland,"",Nederland
3923,Westwoud,Westwoud,Noord-Holland,"",Nederland
3924,Westzaan,Westzaan,Noord-Holland,"",Nederland
3925,Wetering,Steenwijkerwold,Overijssel,"",Nederland
3926,Wetsinge,Adorp,Groningen,"",Nederland
3928,Wetzens,Oostdongeradeel,Friesland,"",Nederland
3929,Weurden,Winterswijk,Gelderland,"",Nederland
3930,Weurt,Beuningen (Ge),Gelderland,"",Nederland
3931,Wezep,Oldebroek,Gelderland,"",Nederland
3935,Wieken,Gendringen,Gelderland,"",Nederland
3936,Wieldrecht,Dubbeldam,Zuid-Holland,"",Nederland
3937,Wieldrecht,Wieldrecht,Zuid-Holland,"",Nederland
3938,Wiene,Delden Ambt,Overijssel,"",Nederland
3939,Wier,Menaldumadeel,Friesland,"",Nederland
3940,Wierden,Wierden,Overijssel,"",Nederland
3941,Wieringen,Wieringen,Noord-Holland,"",Nederland
3942,Wieringermeer,Wieringermeer,Noord-Holland,"",Nederland
3943,Wieringerwaard,Wieringerwaard,Noord-Holland,"",Nederland
3944,Wieringerwerf,"Wieringermeer, Openbaar Lichaam De",Noord-Holland,"",Nederland
3945,Wierum,Westdongeradeel,Friesland,"",Nederland
3948,Wieuwerd,Baarderadeel,Friesland,"",Nederland
3949,Wijchen,Wijchen,Gelderland,"",Nederland
3950,Wijdemeren,Wijdemeren,Noord-Holland,"",Nederland
3952,Wijdenes,Wijdenes,Noord-Holland,"",Nederland
3953,Wijdewormer,Wijdewormer,Noord-Holland,"",Nederland
3954,Wijhe,Wijhe,Overijssel,"",Nederland
3955,Wijk aan Zee en Duin,Beverwijk,Noord-Holland,"",Nederland
3956,Wijk aan Zee en Duin,Wijk aan Zee en Duin (NH),Noord-Holland,"",Nederland
3957,Wijk bij Duurstede,Wijk bij Duurstede,Utrecht,"",Nederland
3958,Wijk en Aalburg,Wijk en Aalburg,Noord-Brabant,"",Nederland
3959,Wijlre,Wijlre,Limburg,"",Nederland
3960,Wijnaldum,Barradeel,Friesland,"",Nederland
3961,Wijnandsrade,Wijnandsrade,Limburg,"",Nederland
3963,Wijngaarden,Wijngaarden,Zuid-Holland,"",Nederland
3964,Wijnjeterp,Opsterland,Friesland,"",Nederland
3965,Wijns,Tietjerksteradeel,Friesland,"",Nederland
3966,Wijtgaard,Leeuwarderadeel,Friesland,"",Nederland
3967,Wildervank,Wildervank,Groningen,"",Nederland
3968,Wilhelminadorp,Goes,Zeeland,"",Nederland
3969,Wilhelminaoord,Vledder,Drenthe,"",Nederland
3971,Willemsdorp,Dordrecht,Zuid-Holland,"",Nederland
3972,Willemsoord,Den Helder,Noord-Holland,"",Nederland
3973,Willemsoord,Steenwijkerwold,Overijssel,"",Nederland
3976,Borgercompagnie,Wildervank,Groningen,"",Nederland
3977,Willeskop,Willeskop,Utrecht,"",Nederland
3978,Willige-Langerak,Willige-Langerak,Utrecht,"",Nederland
3979,Wilnis,Wilnis,Utrecht,"",Nederland
3980,Wilp,Voorst,Gelderland,"",Nederland
3983,Wilsum,Wilsum (OV),Overijssel,"",Nederland
3984,Winde,Vries,Drenthe,"",Nederland
3985,Winkel,Winkel,Noord-Holland,"",Nederland
3988,Winschoten,Winschoten,Groningen,"",Nederland
3989,Winssen,Ewijk,Gelderland,"",Nederland
3990,Winsum,Baarderadeel,Friesland,"",Nederland
3992,Winsum,Winsum,Groningen,"",Nederland
3993,Wintelre,"Vessem, Wintelre en Knegsel gevormd",Noord-Brabant,"",Nederland
3995,Winterswijk,Winterswijk,Gelderland,"",Nederland
3996,Wirdum,Leeuwarderadeel,Friesland,"",Nederland
3997,Wirdum,Loppersum,Groningen,"",Nederland
3998,Bath,Bath,Zeeland,"",Nederland
3999,Wisch,Wisch,Gelderland,"",Nederland
4000,Wissekerke (Zuid-Beveland),Wissekerke (Zuid Beveland),Zeeland,"",Nederland
4001,Wissenkerke (Noord-Beveland),Wissenkerke (Noord Beveland),Zeeland,"",Nederland
4002,Witmarsum,Wonseradeel,Friesland,"",Nederland
4003,Wittem,Wittem,Limburg,"",Nederland
4004,Witveen,Tietjerksteradeel,Friesland,"",Nederland
4005,Woensdrecht,Woensdrecht,Noord-Brabant,"",Nederland
4006,Woensel,Eindhoven,Noord-Brabant,"",Nederland
4008,Woerden,Woerden (ZH),Zuid-Holland,"",Nederland
4010,Wognum,Wognum,Noord-Holland,"",Nederland
4011,Woldendorp,Termunten,Groningen,"",Nederland
4012,Wolder,Maastricht,Limburg,"",Nederland
4013,Unknown,Unknown,Unknown,"",Unknown
4013,Aldtstjerk,Tietjerksteradeel,Friesland,"",Nederland
4014,Wolfhagen,Schinnen,Limburg,"",Nederland
4015,Wolfheze,Doorwerth,Gelderland,"",Nederland
4016,Wolfheze,Renkum,Gelderland,"",Nederland
4017,Wolphaartsdijk,Wolphaartsdijk,Zeeland,"",Nederland
4018,Wolsum,Wymbritseradeel,Friesland,"",Nederland
4019,Woltersum,Ten Boer,Groningen,"",Nederland
4020,Wolvega,Weststellingwerf,Friesland,"",Nederland
4022,Wommels,Hennaarderadeel,Friesland,"",Nederland
4023,Wons,Wonseradeel,Friesland,"",Nederland
4024,Wonseradeel,Wonseradeel,Friesland,"",Nederland
4025,Woold,Winterswijk,Gelderland,"",Nederland
4026,Workum,Workum,Friesland,"",Nederland
4027,Wormer,Wormer,Noord-Holland,"",Nederland
4028,Wormerland,Wormerland,Noord-Holland,"",Nederland
4029,Wormerveer,Wormerveer,Noord-Holland,"",Nederland
4032,Worth,Rheden,Gelderland,"",Nederland
4033,Woubrugge,Woubrugge,Zuid-Holland,"",Nederland
4034,Woudbloem,Slochteren,Groningen,"",Nederland
4035,Woudenberg,Woudenberg,Utrecht,"",Nederland
4036,Woudrichem,Woudrichem,Noord-Brabant,"",Nederland
4037,Woudsend,Wymbritseradeel,Friesland,"",Nederland
4038,Wouterswoude,Dantumadeel,Friesland,"",Nederland
4039,Wouw,Wouw,Noord-Brabant,"",Nederland
4040,Wulverhorst,Linschoten,Utrecht,"",Nederland
4043,Wyckel,Gaasterland,Friesland,"",Nederland
4044,Wymbritseradeel,Wymbritseradeel,Friesland,"",Nederland
4045,Yerseke,Yerseke,Zeeland,"",Nederland
4046,Ypecolsga,Wymbritseradeel,Friesland,"",Nederland
4047,Zaamslag,Zaamslag,Zeeland,"",Nederland
4048,Zaandam,Zaandam,Noord-Holland,"",Nederland
4049,Zaandijk,Zaandijk,Noord-Holland,"",Nederland
4050,Zaanstad,Zaanstad,Noord-Holland,"",Nederland
4052,Zalk en Veecaten,Zalk en Veecaten,Overijssel,"",Nederland
4053,Zaltbommel,Zaltbommel,Gelderland,"",Nederland
4054,Zand 't,Zijpe,Noord-Holland,"",Nederland
4055,Zandburen,Wieringen,Noord-Holland,"",Nederland
4056,Zanddijk,Veere,Zeeland,"",Nederland
4057,Zandeweer,Kantens,Groningen,"",Nederland
4058,Zandt 't,Zandt 't,Groningen,"",Nederland
4059,Zandvoort,Zandvoort,Noord-Holland,"",Nederland
4060,Zeddam,Bergh,Gelderland,"",Nederland
4060,Zegwaart,Zegwaart,Zuid-Holland,"",Nederland
4061,Zederik,Zederik,Zuid-Holland,"",Nederland
4062,Zeeland,Zeeland,Noord-Brabant,"",Nederland
4063,Zeelst,Zeelst,Noord-Brabant,"",Nederland
4064,Zeevang,Zeevang,Noord-Holland,"",Nederland
4065,Zeewolde,Zeewolde,Flevoland,"",Nederland
4067,Zegveld,Zegveld,Utrecht,"",Nederland
4069,Zegwaart,Zoetermeer,Zuid-Holland,"",Nederland
4070,Zeijen,Vries,Drenthe,"",Nederland
4071,Zeijerveld,Vries,Drenthe,"",Nederland
4072,Zeist,Zeist,Utrecht,"",Nederland
4073,Zelhem,Zelhem,Gelderland,"",Nederland
4075,Zenderen,Borne,Overijssel,"",Nederland
4076,Zesgehuchten,Geldrop,Noord-Brabant,"",Nederland
4077,Zesgehuchten,Zesgehuchten,Noord-Brabant,"",Nederland
4078,Zestienhoven,Rotterdam,Zuid-Holland,"",Nederland
4079,Zetten,Valburg,Gelderland,"",Nederland
4080,Zevenaar,Zevenaar,Gelderland,"",Nederland
4081,Zevenbergen,Zevenbergen,Noord-Brabant,"",Nederland
4082,Zevenhoven,Zevenhoven,Zuid-Holland,"",Nederland
4084,Zevenhuizen,Hoogland,Utrecht,"",Nederland
4085,Zevenhuizen,Leek,Groningen,"",Nederland
4086,Zevenhuizen,Zevenhuizen,Zuid-Holland,"",Nederland
4087,Zevenhuizen-Moerkapelle,Zevenhuizen-Moerkapelle,Zuid-Holland,"",Nederland
4088,Zierikzee,Zierikzee,Zeeland,"",Nederland
4089,Zijderveld,Everdingen,Zuid-Holland,"",Nederland
4090,Zijldijk,Zandt 't,Groningen,"",Nederland
4091,Zijpe,Zijpe,Noord-Holland,"",Nederland
4092,Zoelen,Zoelen,Gelderland,"",Nederland
4093,Zoelmond,Beusichem,Gelderland,"",Nederland
4094,Zoetermeer,Zoetermeer,Zuid-Holland,"",Nederland
4095,Zoeterwoude,Zoeterwoude,Zuid-Holland,"",Nederland
4097,Zonnemaire,Zonnemaire,Zeeland,"",Nederland
4098,Zoutelande,Zoutelande,Zeeland,"",Nederland
4099,Zoutkamp,Ulrum,Groningen,"",Nederland
4100,Zuid- en Noord-Scharwoude,Langedijk,Noord-Holland,"",Nederland
4101,Zuid- en Noord-Schermer,Zuid- en Noord-Schermer,Noord-Holland,"",Nederland
4102,Zuid-Beijerland,Zuid-Beijerland,Zuid-Holland,"",Nederland
4103,Zuid-Bergum,Tietjerksteradeel,Friesland,"",Nederland
4104,Zuidbroek,Zuidbroek (GR),Groningen,"",Nederland
4105,Exel,Laren (Ge),Gelderland,"",Nederland
4106,Zuidbroek,Zuidbroek (GR),Groningen,"",Nederland
4107,Zuiddorpe,Zuiddorpe,Zeeland,"",Nederland
4108,"Zuidelijke IJsselmeerpolders, Openbaar Lichaam","Zuidelijke Ijsselmeerpolders, Openbaar Lichaam",Flevoland,"",Nederland
4109,Zuiderdijk,Wervershoof,Noord-Holland,"",Nederland
4110,Zuiderdrachten,Smallingerland,Friesland,"",Nederland
4111,Zuidhorn,Zuidhorn,Groningen,"",Nederland
4112,Zuidland,Zuidland,Zuid-Holland,"",Nederland
4113,Zuidlaren,Zuidlaren,Drenthe,"",Nederland
4114,Zuid-Polsbroek,Zuid-Polsbroek,Utrecht,"",Nederland
4115,Zuid-Schalkwijk,Haarlemmerliede en Spaarnwoude,Noord-Holland,"",Nederland
4116,Zuid-Scharwoude,Zuid-Scharwoude,Noord-Holland,"",Nederland
4117,Zuid-Sleen,Sleen,Drenthe,"",Nederland
4118,Zuidveen,Steenwijkerwold,Overijssel,"",Nederland
4119,Zuid-Waddinxveen,Zuid-Waddinxveen,Zuid-Holland,"",Nederland
4120,Zuidwolde,Zuidwolde,Drenthe,"",Nederland
4121,Zuidzande,Zuidzande,Zeeland,"",Nederland
4122,Zuilen,Zuilen,Utrecht,"",Nederland
4123,Zuilichem,Zuilichem,Gelderland,"",Nederland
4124,Zunderdorp,Nieuwendam,Noord-Holland,"",Nederland
4125,Zundert,Zundert,Noord-Brabant,"",Nederland
4126,Zurich,Wonseradeel,Friesland,"",Nederland
4128,Zutphen,Zutphen,Gelderland,"",Nederland
4129,Zuurdijk,Leens,Groningen,"",Nederland
4130,Zwaag,Zwaag,Noord-Holland,"",Nederland
4131,Zwaagdijk,Wognum,Noord-Holland,"",Nederland
4132,Zwaagwesteinde,Dantumadeel,Friesland,"",Nederland
4133,Zwagerveen,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
4134,Zwammerdam,Zwammerdam,Zuid-Holland,"",Nederland
4135,Zwanenburg,Haarlemmerliede en Spaarnwoude,Noord-Holland,"",Nederland
4136,Zwartewaal,Zwartewaal,Zuid-Holland,"",Nederland
4137,Zwartsluis,Zwartsluis,Overijssel,"",Nederland
4138,Zweeloo,Zweeloo,Drenthe,"",Nederland
4139,Zweins,Franekeradeel,Friesland,"",Nederland
4141,Zwijndrecht,Zwijndrecht,Zuid-Holland,"",Nederland
4142,Zwolle,Zwolle,Overijssel,"",Nederland
4143,Zwollerkerspel,Zwollerkerspel,Overijssel,"",Nederland
4147,Capelle,Capelle,Noord-Brabant,"",Nederland
4157,Dirkshorn,Harenkarspel,Noord-Holland,"",Nederland
4158,Eemsmond,Eemsmond,Groningen,"",Nederland
4161,Groot Wateren,Diever,Drenthe,"",Nederland
4165,Oude Sloot,Vlagtwedde,Groningen,"",Nederland
4168,Saaxumhuizen,Baflo,Groningen,"",Nederland
4173,Leidschendam-Voorburg,Leidschendam-Voorburg,Zuid-Holland,"",Nederland
4176,Haatland,Kampen,Overijssel,"",Nederland
4177,Wittewierum,Ten Boer,Groningen,"",Nederland
4178,Willlemsoord onder Steggerda,Weststellingwerf,Friesland,"",Nederland
4179,Wijster,Beilen,Drenthe,"",Nederland
4180,Veenwoudsterwal,Tietjerksteradeel,Friesland,"",Nederland
4200,Aldeboam,Boarnsterhim,Friesland,"",Nederland
4201,Rozenburg,Haarlemmermeer,Noord-Holland,"",Nederland
4208,Badhoevedorp,Haarlemmermeer,Noord-Holland,"",Nederland
4209,Scharren,Scharsterland,Friesland,"",Nederland
4216,Beerzerveld,Ommen,Overijssel,"",Nederland
4219,Loerbeek,Bergh,Gelderland,"",Nederland
4240,De Nes,Vreeland,Utrecht,"",Nederland
4276,Loënga,Wymbritseradeel,Friesland,"",Nederland
4339,Knollendam,Wormerland,Noord-Holland,"",Nederland
4352,Laaxum,Nijefurd,Friesland,"",Nederland
4353,Lakemond,Heteren,Gelderland,"",Nederland
4355,Landerd,Landerd,Noord-Brabant,"",Nederland
4356,Langelille,Weststellingwerf,Friesland,"",Nederland
4398,Noorderhoogebrug,Bedum,Groningen,"",Nederland
4416,Haarlo,Borculo,Gelderland,"",Nederland
4422,De Zanden,Slochteren,Groningen,"",Nederland
4424,Lula,Hoogezand,Groningen,"",Nederland
4425,Lucaswolde,Marum,Groningen,"",Nederland
4427,Zwartemeer,Emmen,Drenthe,"",Nederland
4428,Zuuk,Epe,Gelderland,"",Nederland
4434,Quatrebras,Tietjerksteradeel,Friesland,"",Nederland
4511,Scheulder,Wijlre,Limburg,"",Nederland
4517,Unknown,Unknown,Gelderland,Achterhoek,Nederland
4520,Beutenaken,Slenaken,Limburg,"",Nederland
4570,Wittem Mechelen,Wittem,Limburg,"",Nederland
4588,Heiligerlee,Scheemda,Groningen,"",Nederland
5000,Unknown,Unknown,Unknown,"",Nederland
5000,Unknown,Unknown,Unknown,"",Unknown
5001,Unknown,Unknown,Groningen,"",Nederland
5001,Unknown,Unknown,Unknown,"",Unknown
5002,Unknown,Unknown,Friesland,"",Nederland
5003,Unknown,Unknown,Drenthe,"",Nederland
5003,Unknown,Unknown,Unknown,"",Unknown
5004,Unknown,Unknown,Overijssel,"",Nederland
5004,Unknown,Unknown,Unknown,"",Unknown
5005,Unknown,Unknown,Gelderland,"",Nederland
5006,Unknown,Unknown,Utrecht,"",Nederland
5007,Unknown,Unknown,Noord-Holland,"",Nederland
5008,Unknown,Unknown,Zuid-Holland,"",Nederland
5009,Unknown,Unknown,Zeeland,"",Nederland
5010,Unknown,Unknown,Noord-Brabant,"",Nederland
5010,Unknown,Unknown,Unknown,"",Unknown
5011,Unknown,Unknown,Limburg,"",Nederland
5011,Unknown,Unknown,Unknown,"",Unknown
5101,Unknown,Unknown,Unknown,"",Unknown
5103,Unknown,Unknown,Unknown,"",Unknown
5121,Beekhuizen,Rheden,Gelderland,"",Nederland
5124,Unknown,Unknown,Unknown,"",Unknown
5126,Broekdijk,Oldebroek,Gelderland,"",Nederland
5127,Brongerga,Heerenveen,Friesland,"",Nederland
5128,Unknown,Unknown,Unknown,"",Unknown
5131,Unknown,Unknown,Unknown,"",Unknown
5134,Unknown,Unknown,Unknown,"",Unknown
5135,Deuteren,'s-Hertogenbosch,Noord-Brabant,"",Nederland
5136,Unknown,Unknown,Unknown,"",Unknown
5138,De Hoge Ham,Utrecht,Utrecht,"",Nederland
5138,Unknown,Unknown,Unknown,"",Unknown
5139,Unknown,Unknown,Unknown,"",Unknown
5140,Unknown,Unknown,Unknown,"",Unknown
5140,Korendijk,'t Zand,Groningen,"",Nederland
5143,Unknown,Unknown,Unknown,"",Unknown
5146,Molenhoek,Mook en Middelaar,Limburg,"",Nederland
5146,Unknown,Unknown,Unknown,"",Unknown
5147,Nieuwenhuis,Delfzijl,Groningen,"",Nederland
5147,Unknown,Unknown,Unknown,"",Unknown
5148,Noord-Zijpe,Zijpe,Noord-Holland,"",Nederland
5150,Roux,Unknown,Henegouwen,"",België
5151,Unknown,Unknown,Unknown,"",Unknown
5153,Unknown,Unknown,Unknown,"",Unknown
5154,Sinderhoek,Varsseveld,Gelderland,"",Nederland
5154,Unknown,Unknown,Unknown,"",Unknown
5155,Thamen,Uithoorn,Noord-Holland,"",Nederland
5156,Veneburen,Ooststellingwerf,Friesland,"",Nederland
5157,Voorne,Heerewaarden,Gelderland,"",Nederland
5158,Vossenberg,Gilze en Rijen,Noord-Brabant,"",Nederland
5159,Weerd,Linne,Limburg,"",Nederland
5160,Zuidhoek,Nieuwkoop,Zuid-Holland,"",Nederland
5162,Grote Kerkstraat,Hoogeveen,Drenthe,"",Nederland
5163,Grote Kerksteeg,Hoogeveen,Drenthe,"",Nederland
5164,Ziese,Ommen Ambt,Overijssel,"",Nederland
5205,Harendermolen,Haren,Groningen,"",Nederland
5407,Hoorn,Alphen aan den Rijn,Zuid-Holland,"",Nederland
5408,Kessel,Kessel,Limburg,"",Nederland
5409,Laar,Weert,Limburg,"",Nederland
5410,Meppen,Zweeloo,Drenthe,"",Nederland
5411,Oostwold,Midwolda,Groningen,"",Nederland
5412,Oudega,Smallingerland,Friesland,"",Nederland
5413,Kruisland,Steenbergen,Noord-Brabant,"",Nederland
5414,Voorst,Voorst,Gelderland,"",Nederland
5415,Afferden,Druten,Gelderland,"",Nederland
5417,Arkel,Arkel,Zuid-Holland,"",Nederland
5418,Asch,Buren,Gelderland,"",Nederland
5419,Beuningen,Beuningen,Gelderland,"",Nederland
5421,Broek,Doniawerstal,Friesland,"",Nederland
5422,Bunde,Bunde,Limburg,"",Nederland
5423,Dedemsvaart,Avereest,Overijssel,"",Nederland
5424,Elsen,Markelo,Overijssel,"",Nederland
5426,Gaast,Wonseradeel,Friesland,"",Nederland
5427,Geesteren,Tubbergen,Overijssel,"",Nederland
5429,Haaften,Haaften,Gelderland,"",Nederland
5430,Hasselt,Hasselt,Overijssel,"",Nederland
5432,Hees,Nijmegen,Gelderland,"",Nederland
5433,Heukelom,Berkel-Enschot,Noord-Brabant,"",Nederland
5433,Unknown,Unknown,Unknown,"",Unknown
5434,Hulst,Hulst,Zeeland,"",Nederland
5438,Langerak,Langerak,Zuid-Holland,"",Nederland
5439,Leuth,Ubbergen,Gelderland,"",Nederland
5440,Linde,Zuidwolde,Drenthe,"",Nederland
5441,Loenen,Apeldoorn,Gelderland,"",Nederland
5442,Loo,Duiven,Gelderland,"",Nederland
5446,Netterden,Netterden,Gelderland,"",Nederland
5447,Netterden,Gendringen,Gelderland,"",Nederland
5449,Nieuwenhagen,Nieuwenhagen,Limburg,"",Nederland
5450,Nieuwvliet,Nieuwvliet,Zeeland,"",Nederland
5451,Nijega,Smallingerland,Friesland,"",Nederland
5453,Nijkerk,Nijkerk,Gelderland,"",Nederland
5454,Nijkerk,Oostdongeradeel,Friesland,"",Nederland
5455,Zandhuizen,Weststellingwerf,Friesland,"",Nederland
5456,Noordwolde,Weststellingwerf,Friesland,"",Nederland
5458,Oosteinde,Ermelo,Gelderland,"",Nederland
5460,Overschild,Slochteren,Groningen,"",Nederland
5461,Rimburg,Ubach over Worms,Limburg,"",Nederland
5462,Rottevalle,Smallingerland,Friesland,"",Nederland
5463,Scherpenzeel,Scherpenzeel,Gelderland,"",Nederland
5464,Stadskanaal,Nieuwe Pekela,Groningen,"",Nederland
5465,Stadskanaal,Onstwedde,Groningen,"",Nederland
5466,Stein,Reeuwijk,Zuid-Holland,"",Nederland
5467,Toldijk,Steenderen,Gelderland,"",Nederland
5469,Westeinde,Ermelo,Gelderland,"",Nederland
5471,Zandvoort,Zandvoort,Noord-Holland,"",Nederland
5472,Aalst,Poederoijen,Gelderland,"",Nederland
5473,Achterveld,Barneveld,Gelderland,"",Nederland
5474,Agelo,Ootmarsum Ambt,Overijssel,"",Nederland
5475,Agelo,Denekamp,Overijssel,"",Nederland
5476,Akkrum,Utingeradeel,Friesland,"",Nederland
5477,Albergen,Tubbergen,Overijssel,"",Nederland
5478,Annen,Anloo,Drenthe,"",Nederland
5479,Angeren,Bemmel,Gelderland,"",Nederland
5480,Arriërveld,Ommen,Overijssel,"",Nederland
5482,Avezaath,Buren,Gelderland,"",Nederland
5483,Baarlo,Maasbree,Limburg,"",Nederland
5485,Barchem,Laren,Gelderland,"",Nederland
5486,Beets,Beets,Noord-Holland,"",Nederland
5487,Barlo,Aalten,Gelderland,"",Nederland
5488,Blerick,Maasbree,Limburg,"",Nederland
5489,De Steeg,Rheden,Gelderland,"",Nederland
5490,Deldenerbroek,Delden Stad,Overijssel,"",Nederland
5491,Den Ham,Den Ham,Overijssel,"",Nederland
5492,Deurne,Deurne,Noord-Brabant,"",Nederland
5493,Dieverbrug,Diever,Drenthe,"",Nederland
5495,Doornenburg,Bemmel,Gelderland,"",Nederland
5495,Unknown,Unknown,Unknown,"",Unknown
5496,Edam,Edam,Noord-Holland,"",Nederland
5497,Doornik,Bemmel,Gelderland,"",Nederland
5497,Dorkwerd,Hoogkerk,Groningen,"",Nederland
5498,Eelderwolde,Eelde,Drenthe,"",Nederland
5499,Eelen,Hellendoorn,Overijssel,"",Nederland
5502,Emmen,Emmen,Drenthe,"",Nederland
5503,Emmen,Emmen,Drenthe,"",Nederland
5504,Enter,Wierden,Overijssel,"",Nederland
5505,Enumatil,Leek,Groningen,"",Nederland
5506,Erm,Sleen,Drenthe,"",Nederland
5507,Fijnaart,Fijnaart en Heijningen,Noord-Brabant,"",Nederland
5508,Foxham,Hoogezand,Groningen,"",Nederland
5509,Frederiksoord,Noordwolde,Friesland,"",Nederland
5510,Frederiksoord,Vledder,Drenthe,"",Nederland
5511,Ulvenhout,Ginneken en Bavel,Noord-Brabant,"",Nederland
5512,Ijpelaar,Ginneken en Bavel,Noord-Brabant,"",Nederland
5513,Moederheil,Ginneken en Bavel,Noord-Brabant,"",Nederland
5514,Galder,Ginneken en Bavel,Noord-Brabant,"",Nederland
5515,Groot-Agelo,Denekamp,Overijssel,"",Nederland
5516,Groningen,Groningen,Groningen,"",Nederland
5517,Haarle,Hellendoorn,Overijssel,"",Nederland
5518,Hardenberg,Hardenberg,Overijssel,"",Nederland
5518,Haarlo,Borculo,Gelderland,"",Nederland
5519,Haren,Haren,Groningen,"",Nederland
5520,Heer,Heer,Limburg,"",Nederland
5522,Caumer,Heerlen,Limburg,"",Nederland
5523,Caumermolen,Heerlen,Limburg,"",Nederland
5524,Corisberg,Heerlen,Limburg,"",Nederland
5525,Beitel,Heerlen,Limburg,"",Nederland
5526,Heerlen,Heerlen,Limburg,"",Nederland
5527,Hellum,Slochteren,Groningen,"",Nederland
5528,Het Meer,Schoterland,Friesland,"",Nederland
5529,Het Veen,Heerde,Gelderland,"",Nederland
5530,Hoeven,Hoeven,Noord-Brabant,"",Nederland
5531,Holte,Onstwedde,Groningen,"",Nederland
5532,Achter de Kerk,Hoogeveen,Drenthe,"",Nederland
5532,Hoornsterzwaag,Schoterland,Friesland,"",Nederland
5533,De Kleine Kerksteeg,Hoogeveen,Drenthe,"",Nederland
5534,De Kleine Kerkstraat,Hoogeveen,Drenthe,"",Nederland
5535,Hulshorst,Ermelo,Gelderland,"",Nederland
5536,Ijzevoorde,Doetinchem,Gelderland,"",Nederland
5537,Joure,Haskerland,Friesland,"",Nederland
5538,Jubbega-Schurega,Schoterland,Friesland,"",Nederland
5539,Kalenberg,Oldemarkt,Overijssel,"",Nederland
5540,Katwijk aan den Rijn en het Zand,Katwijk aan den Rijn en 't Zand,Zuid-Holland,"",Nederland
5541,Katwijk,Katwijk,Zuid-Holland,"",Nederland
5542,Keent,Balgoij en Keent,Noord-Brabant,"",Nederland
5543,Kostverloren,Hoogkerk,Groningen,"",Nederland
5544,Lakemond,Heteren,Gelderland,"",Nederland
5545,Lattrop,Denekamp,Overijssel,"",Nederland
5546,Lemelerveld,Ommen,Overijssel,"",Nederland
5548,Lichtenberg,Hellendoorn,Overijssel,"",Nederland
5550,Katwijk,Linden,Noord-Brabant,"",Nederland
5551,Linden,Linden,Noord-Brabant,"",Nederland
5552,Lippenhuizen,Opsterland,Friesland,"",Nederland
5554,Moddergat,Westdongeradeel,Friesland,"",Nederland
5555,Muggenbeet,Steenwijkerwold,Overijssel,"",Nederland
5556,Niekerkje,Uithuizermeeden,Groningen,"",Nederland
5557,Nieuw-Schoonebeek,Schoonebeek,Drenthe,"",Nederland
5558,Nijbroek,Voorst,Gelderland,"",Nederland
5559,Nijensleek,Vledder,Drenthe,"",Nederland
5560,Oosterbeek,Renkum,Gelderland,"",Nederland
5561,Oosterwolde,Ooststellingwerf,Friesland,"",Nederland
5562,Oranjewoud,Schoterland,Friesland,"",Nederland
5563,Oudeschoot,Schoterland,Friesland,"",Nederland
5564,Oudezijl,Beerta,Groningen,"",Nederland
5565,Riethoven,Riethoven,Noord-Brabant,"",Nederland
5566,Rietveld,Rietveld,Zuid-Holland,"",Nederland
5568,Rossum,Rossum,Gelderland,"",Nederland
5569,Rottum,Schoterland,Friesland,"",Nederland
5570,Rozenburg,Rozenburg,Zuid-Holland,"",Nederland
5571,Schoten,Haarlem,Noord-Holland,"",Nederland
5572,Silvolde,Wisch,Gelderland,"",Nederland
5573,Sint Johannesga,Schoterland,Friesland,"",Nederland
5574,Sint Nicolaasga,Doniawerstal,Friesland,"",Nederland
5575,Sint Pieter,Maastricht,Limburg,"",Nederland
5576,Sleeuwijk,De Werken en Sleeuwijk,Noord-Brabant,"",Nederland
5577,Veen,Veen,Noord-Brabant,"",Nederland
5578,Veldhuizen,Veldhuizen,Utrecht,"",Nederland
5579,Velp,Rheden,Gelderland,"",Nederland
5580,Venebrugge,Hardenberg,Overijssel,"",Nederland
5581,Veur,Veur,Zuid-Holland,"",Nederland
5582,Vledderveen,Vledder,Drenthe,"",Nederland
5583,Wetering,Steenwijkerwold,Overijssel,"",Nederland
5584,Wiene,Delden,Overijssel,"",Nederland
5585,Willemstad,Willemstad,Noord-Brabant,"",Nederland
5586,Winkel,Winkel,Noord-Holland,"",Nederland
5587,Winschoterzijl,Wedde,Groningen,"",Nederland
5589,Wolfheze,Renkum,Gelderland,"",Nederland
5590,Zeedijk,Zwollerkerspel,Overijssel,"",Nederland
5591,Zeldam,Delden,Overijssel,"",Nederland
5592,Zwartebroek,Barneveld,Gelderland,"",Nederland
5593,Zwijndrecht,Zwijndrecht,Zuid-Holland,"",Nederland
5594,Zwinderen,Oosterhesselen,Drenthe,"",Nederland
